Wielomian interpolacyjny Newtona w punktach le¿¹cych w przedziale <-3,3>
dla funkcji f(x)=|cos(x)*x|
Wezly rownolegle n=7
Wartosci w wezlach:
x0: -3                  y0: 2.96998
x1: -2.14286            y1: 1.16007
x2: -1.28571            y2: 0.361589
x3: -0.428571           y3: 0.389812
x4: 0.428571            y4: 0.389812
x5: 1.28571             y5: 0.361589
x6: 2.14286             y6: 1.16007
x7: 3                   y7: 2.96998

Wartosci w 150 wezlach
i     x       f(x)                L(x)                error
0     -3      2.96998             2.96998             0                   
1     -2.96   2.91133             2.89105             0.0202808           
2     -2.92   2.8486              2.80871             0.0398873           
3     -2.88   2.78202             2.72356             0.0584556           
4     -2.84   2.71182             2.63615             0.0756628           
5     -2.8    2.63822             2.547               0.0912252           
6     -2.76   2.56148             2.45658             0.104896            
7     -2.72   2.48183             2.36537             0.116465            
8     -2.68   2.39952             2.27377             0.125756            
9     -2.64   2.3148              2.18217             0.132625            
10    -2.6    2.22791             2.09095             0.136957            
11    -2.56   2.13911             2.00044             0.138669            
12    -2.52   2.04864             1.91093             0.137705            
13    -2.48   1.95676             1.82272             0.134033            
14    -2.44   1.86371             1.73606             0.127648            
15    -2.4    1.76974             1.65118             0.118566            
16    -2.36   1.67511             1.56829             0.106824            
17    -2.32   1.58005             1.48757             0.0924803           
18    -2.28   1.4848              1.40919             0.075611            
19    -2.24   1.38961             1.3333              0.0563089           
20    -2.2    1.2947              1.26002             0.0346823           
21    -2.16   1.20031             1.18946             0.0108534           
22    -2.12   1.10666             1.1217              0.0150425           
23    -2.08   1.01396             1.05682             0.0428591           
24    -2.04   0.922439            0.994879            0.0724398           
25    -2      0.832294            0.935913            0.103619            
26    -1.96   0.743725            0.87995             0.136225            
27    -1.92   0.656927            0.827004            0.170077            
28    -1.88   0.572084            0.777076            0.204992            
29    -1.84   0.489374            0.730154            0.24078             
30    -1.8    0.408964            0.686215            0.277251            
31    -1.76   0.331015            0.645227            0.314212            
32    -1.72   0.255679            0.607146            0.351467            
33    -1.68   0.183098            0.571921            0.388823            
34    -1.64   0.113403            0.539491            0.426088            
